"grup_codigo"|"grup_classificacao"|"grup_descricao"|"grup_prodserv"|"grup_decimaisest"|"grup_recuo"|"grup_periodos"|"grup_codigoncm"|"grup_comissao"|"grup_dpto_codigo"|"grup_comportamento"|"grup_classfiscal"|"grup_tipoitem"|"grup_dtestmin"|"grup_ctrlestmin"|"grup_percabast"|"grup_abatimento"|"grup_extra1"|"grup_extra2"|"grup_extra3"|"grup_extra4"|"grup_extra5"|"grup_extra6"|"grup_extra7"|"grup_extra8"|"grup_extra9"|"grup_grupo_ecomm"|"grup_dthrmanutencao"|"grup_dthrintegracao"|"grup_margemecomm"
"12008"|"0010140006"|Pães Especial Produção Terceiros|P|3|0|0|""||""|""||"00"|||0|||||||||||0||2022-10-04 15:28:27.000|
"12039"|"0010140009"|Pão Caseiro Produção Terceiros|P|3|0|0|""||""|""||"00"|||0|||||||||||0||2022-10-04 15:28:27.000|
"12009"|"0010140008"|Pão De Queijo Produção Terceiros|P|3|0|0|""||""|""||"00"|||0|||||||||||0||2022-10-04 15:28:27.000|
"10537"|"0010140005"|Pão Francês Produção Terceiros|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"12060"|"101030"|Pão Recheado|P|0|0|0|""||""|""||"00"|||0|||||||||||0||2022-10-04 15:28:27.000|
"12136"|"0010080016"|Pé De Moleque|P|3|0|0|""||""|""|"2000"|"00"|||0|0.000||||||||||0||2022-10-04 15:28:27.000|
"10427"|"0010010003"|Pêssego Em Calda|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11728"|"338001"|Quadro|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11332"|"307015"|Queijeira|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10907"|"101009"|Queijo|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10986"|"1010280004"|Queijo suíno|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10875"|"005015"|Quentão|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10704"|"003021"|Querosene|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"12110"|"0010020005"|Quinoa|P|0|0|0|""||""|""|"1"|"00"|||0|0.000||||||||||0||2022-10-04 15:28:27.000|
"10402"|"000013"|Quirera|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"12120"|"0000130001"|Quirera|P|3|0|0|""||""|""|"2000"|"00"|||0|0.000||||||||||0||2022-10-04 15:28:27.000|
"10585"|"0010230004"|Químico|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11031"|"201002"|Racao Aves Gd|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11029"|"2010010004"|Racao Aves Pq Semente Girassol|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11024"|"201001"|Racoes Aves Pq|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11026"|"2010010001"|Racoes Aves Pq Alpiste|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11028"|"2010010003"|Racoes Aves Pq Painço|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11027"|"2010010002"|Racoes Aves Pq Raçao|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11833"|"4030020002"|Radio|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11834"|"4030020003"|Radio Relogio|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10829"|"0050020005"|Raiz Amarga|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10910"|"1010090003"|Ralado|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11490"|"3130010022"|Ralador|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"12025"|"3290100003"|Ralos|P|0|0|0|""||""|""||"00"|||0|||||||||||0||2022-10-04 15:28:27.000|
"11356"|"3080020003"|Raso|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10676"|"0030140007"|Raticida|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10677"|"0030140008"|Raticida|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
